DATE,PCEPILFE_PC1
1988-04-01,4.05917
1988-05-01,4.12110
1988-06-01,4.27474
1988-07-01,4.43007
1988-08-01,4.33689
1988-09-01,4.48118
1988-10-01,4.43258
1988-11-01,4.50078
1988-12-01,4.62750
1989-01-01,4.66249
1989-02-01,4.71326
1989-03-01,4.57854
1989-04-01,4.42239
1989-05-01,4.37851
1989-06-01,4.21632
1989-07-01,4.05957
1989-08-01,3.94594
1989-09-01,3.75087
1989-10-01,3.73313
1989-11-01,3.72468
1989-12-01,3.67544
1990-01-01,3.55018
1990-02-01,3.78903
1990-03-01,3.97787
1990-04-01,3.93854
1990-05-01,3.94584
1990-06-01,4.07333
1990-07-01,4.06805
1990-08-01,4.35612
1990-09-01,4.35817
1990-10-01,4.33388
1990-11-01,4.18290
1990-12-01,4.03196
1991-01-01,4.14998
1991-02-01,3.93321
1991-03-01,3.65164
1991-04-01,3.55069
1991-05-01,3.64634
1991-06-01,3.46816
1991-07-01,3.52226
1991-08-01,3.37596
1991-09-01,3.42820
1991-10-01,3.30543
1991-11-01,3.37328
1991-12-01,3.48437
1992-01-01,3.25129
1992-02-01,3.24721
1992-03-01,3.28888
1992-04-01,3.42088
1992-05-01,3.15534
1992-06-01,3.01240
1992-07-01,3.08788
1992-08-01,2.89950
1992-09-01,2.65641
1992-10-01,2.82464
1992-11-01,2.85728
1992-12-01,2.79511
1993-01-01,2.81422
1993-02-01,2.73138
1993-03-01,2.69958
1993-04-01,2.66114
1993-05-01,2.86434
1993-06-01,2.88233
1993-07-01,2.70731
1993-08-01,2.80542
1993-09-01,2.79314
1993-10-01,2.56698
1993-11-01,2.60745
1993-12-01,2.46314
1994-01-01,2.24661
1994-02-01,2.27283
1994-03-01,2.39726
1994-04-01,2.25372
1994-05-01,2.13570
1994-06-01,2.26514
1994-07-01,2.26800
1994-08-01,2.19152
1994-09-01,2.19273
1994-10-01,2.26567
1994-11-01,2.18950
1994-12-01,2.17804
1995-01-01,2.35120
1995-02-01,2.29690
1995-03-01,2.19993
1995-04-01,2.28420
1995-05-01,2.23025
1995-06-01,2.09232
1995-07-01,2.03928
1995-08-01,2.16956
1995-09-01,2.14862
1995-10-01,2.15679
1995-11-01,2.03568
1995-12-01,2.14479
1996-01-01,2.00657
1996-02-01,1.97268
1996-03-01,1.95913
1996-04-01,1.86026
1996-05-01,1.86435
1996-06-01,1.85405
1996-07-01,1.88437
1996-08-01,1.72849
1996-09-01,1.90331
1996-10-01,1.89725
1996-11-01,1.96492
1996-12-01,1.86040
1997-01-01,1.85400
1997-02-01,1.93023
1997-03-01,1.93718
1997-04-01,1.99866
1997-05-01,1.89565
1997-06-01,1.96808
1997-07-01,1.84668
1997-08-01,1.71754
1997-09-01,1.62051
1997-10-01,1.53352
1997-11-01,1.43157
1997-12-01,1.45213
1998-01-01,1.49837
1998-02-01,1.37747
1998-03-01,1.24405
1998-04-01,1.23184
1998-05-01,1.25607
1998-06-01,0.97968
1998-07-01,1.19487
1998-08-01,1.43359
1998-09-01,1.20678
1998-10-01,1.25076
1998-11-01,1.23789
1998-12-01,1.35368
1999-01-01,1.34330
1999-02-01,1.22177
1999-03-01,1.14445
1999-04-01,1.21823
1999-05-01,1.21706
1999-06-01,1.39799
1999-07-01,1.29498
1999-08-01,1.14687
1999-09-01,1.43142
1999-10-01,1.40669
1999-11-01,1.48595
1999-12-01,1.43960
2000-01-01,1.53867
2000-02-01,1.72237
2000-03-01,1.90087
2000-04-01,1.70654
2000-05-01,1.71853
2000-06-01,1.74211
2000-07-01,1.79197
2000-08-01,1.87257
2000-09-01,1.85002
2000-10-01,1.81848
2000-11-01,1.90048
2000-12-01,1.87109
2001-01-01,2.00522
2001-02-01,2.03588
2001-03-01,1.93246
2001-04-01,2.02769
2001-05-01,1.94251
2001-06-01,2.09220
2001-07-01,2.12212
2001-08-01,2.04209
2001-09-01,1.21671
2001-10-01,1.78733
2001-11-01,1.81466
2001-12-01,1.73873
2002-01-01,1.41828
2002-02-01,1.43290
2002-03-01,1.44851
2002-04-01,1.56968
2002-05-01,1.65861
2002-06-01,1.59333
2002-07-01,1.53826
2002-08-01,1.68772
2002-09-01,2.43569
2002-10-01,1.80552
2002-11-01,1.69770
2002-12-01,1.76889
2003-01-01,1.78091
2003-02-01,1.72687
2003-03-01,1.76890
2003-04-01,1.59845
2003-05-01,1.63155
2003-06-01,1.52707
2003-07-01,1.57416
2003-08-01,1.48886
2003-09-01,1.46463
2003-10-01,1.56590
2003-11-01,1.60535
2003-12-01,1.63710
2004-01-01,1.82899
2004-02-01,1.85327
2004-03-01,1.86049
2004-04-01,2.01245
2004-05-01,2.00575
2004-06-01,2.11006
2004-07-01,1.97554
2004-08-01,1.89990
2004-09-01,1.94909
2004-10-01,1.98208
2004-11-01,2.06254
2004-12-01,2.06627
2005-01-01,2.17143
2005-02-01,2.17544
2005-03-01,2.25561
2005-04-01,2.10751
2005-05-01,2.17689
2005-06-01,2.08637
2005-07-01,2.11497
