DATE,PCEPILFE_PC1
2023-06-01,4.28008
2023-07-01,4.18915
2023-08-01,3.72618
2023-09-01,3.59248
2023-10-01,3.38367
2023-11-01,3.18252
2023-12-01,2.94092
2024-01-01,2.93885
2024-02-01,2.83417
2024-03-01,2.83229
2024-04-01,2.78316
2024-05-01,2.57261
