200601|4.0
200602|3.6
200603|3.4
200604|3.5
200605|4.2
200606|4.3
200607|4.1
200608|3.8
200609|2.1
200610|1.3
200611|2.0
200612|2.5
200701|2.1
200702|2.4
200703|2.8
200704|2.6
200705|2.7	
200706|2.7
200707|2.4
200708|2.0	
200709|2.8
200710|3.5
200711|4.3
200712|4.1
200801|4.3
200802|4.0
200803|4.0
200804|3.9
200805|4.2
200806|5.0
200807|5.6	
200808|5.4	
200809|4.9
200810|3.7
200811|1.1
200812|0.1
200901|0	
200902|0.2
200903|-0.4
200904|-0.7
200905|-1.3
200906|-1.4
200907|-2.1
200908|-1.5
200909|-1.3
200910|-0.2
200911|1.8	
200912|2.7
201001|2.6
201002|2.1
201003|2.3
201004|2.2
201005|2.0
201006|1.1
201007|1.2
201008|1.1
201009|1.1
201010|1.2
201011|1.1
201012|1.5
201101|1.6
201102|2.1
201103|2.7
201104|3.2
201105|3.6
201106|3.6
201107|3.6
201108|3.8
201109|3.9
201110|3.5
201111|3.4
201112|3.0
201201|2.9
201202|2.9
201203|2.7
201204|2.3
201205|1.7
201206|1.7
201207|1.4
201208|1.7
201209|2.0
201210|2.2
201211|1.8
201212|1.7
201301|1.6
201302|2.0
201303|1.5
201304|1.1
201305|1.4
201306|1.8
201307|2.0
201308|1.5
201309|1.2
201310|1.0
201311|1.2
201312|1.5
201401|1.6
201402|1.1
201403|1.5	
201404|2.0	
201405|2.1
201406|2.1
201407|2.0
201408|1.7
201409|1.7
201410|1.7
201411|1.3
201412|0.8
201501|-0.1
201502|0.0
201503|-0.1
201504|-0.2
201505|0.0
201506|0.1
201507|0.2
201508|0.2
201509|0.0
201510|0.2
201511|0.5
201512|0.7
201601|1.4
201602|1.0
201603|0.9
201604|1.1
201605|1.0
201606|1.0
201607|0.8
201608|1.1
201609|1.5
201610|1.6
201611|1.7
201612|2.1
201701|2.5
201702|2.7
201703|2.4
201704|2.2
201705|1.9
201706|1.6
201707|1.7
201708|1.9
201709|2.2
201710|2.0
201711|2.2
201712|2.1
201801|2.1
201802|2.2
201803|2.4
201804|2.5
201805|2.8
201806|2.9
201807|2.9
201808|2.7
201809|2.3
201810|2.5
201811|2.2
201812|1.9
201901|1.6
201902|1.5	
201903|1.9
201904|2.0
201905|1.8
201906|1.6
201907|1.8
201908|1.7
201909|1.7
201910|1.8
201911|2.1
201912|2.3
202001|2.5
202002|2.3
202003|1.5
202004|0.3
202005|0.1
202006|0.6
202007|1.0
202008|1.3
202009|1.4
202010|1.2
202011|1.2
202012|1.4
202101|1.4
202102|1.7
202103|2.6
202104|4.2
202105|5.0
202106|5.4
202107|5.4
202108|5.3
202109|5.4
202110|6.2
202111|6.8
202112|7.0
202201|7.5
202202|7.9
202203|8.5
202204|8.3
202205|8.6
202206|9.1
202207|8.5
202208|8.3
202209|8.2
202210|7.7
202211|7.1
202212|6.5
202301|6.4
202302|6.0
202303|5.0
202304|4.9
202305|4.0
202306|3.0
202307|3.2
202308|3.7
202309|3.7
202310|3.2
202311|3.1
202312|3.4
202401|3.1
202402|3.2
